Date,Qobs [m^3 s^-1]
5/4/2001,10.39381367
5/5/2001,11.39321884
5/6/2001,11.89292142
5/7/2001,11.39321884
5/8/2001,11.09339729
5/9/2001,11.89292142
5/10/2001,12.19274296
5/11/2001,10.79357574
5/12/2001,10.39381367
5/13/2001,16.49018516
5/14/2001,36.37834786
5/15/2001,31.38132206
5/16/2001,27.68352296
5/17/2001,22.68649715
5/18/2001,19.28851961
5/19/2001,17.3896498
5/20/2001,15.79060154
5/21/2001,14.79119638
5/22/2001,15.59072051
5/23/2001,40.07614696
5/24/2001,90.44616707
5/25/2001,144.9137483
5/26/2001,139.9167225
5/27/2001,132.9208864
5/28/2001,156.9066103
5/29/2001,164.9018516
5/30/2001,112.9327832
5/31/2001,88.04759468
6/1/2001,88.24747572
6/2/2001,121.9274296
6/3/2001,109.9345677
6/4/2001,89.24688088
6/5/2001,86.44854643
6/6/2001,92.84473946
6/7/2001,91.2456912
6/8/2001,82.35098527
6/9/2001,80.45211546
6/10/2001,82.75074733
6/11/2001,75.7549112
6/12/2001,70.35812333
6/13/2001,64.5615734
6/14/2001,62.86258463
6/15/2001,69.05889663
6/16/2001,74.75550604
6/17/2001,70.45806385
6/18/2001,68.2593725
6/19/2001,67.45984837
6/20/2001,71.25758798
6/21/2001,79.85247236
6/22/2001,95.34325236
6/23/2001,102.9387316
6/24/2001,97.4420032
6/25/2001,90.54610759
6/26/2001,83.65021198
6/27/2001,75.05532759
6/28/2001,77.85366204
6/29/2001,88.34741623
6/30/2001,87.84771365
7/1/2001,87.74777314
7/2/2001,90.74598862
7/3/2001,87.64783262
7/4/2001,88.04759468
7/5/2001,93.04462049
7/6/2001,92.74479894
7/7/2001,85.84890333
7/8/2001,82.85068785
7/9/2001,83.45033094
7/10/2001,83.55027146
7/11/2001,82.85068785
7/12/2001,82.75074733
7/13/2001,81.9512232
7/14/2001,79.75253185
7/15/2001,75.95479224
7/16/2001,71.95717159
7/17/2001,71.25758798
7/18/2001,69.75848024
7/19/2001,65.36109753
7/20/2001,60.66389327
7/21/2001,57.26591573
7/22/2001,58.3652614
7/23/2001,59.96430966
7/24/2001,64.66151392
7/25/2001,71.65735004
7/26/2001,66.36050269
7/27/2001,62.0630605
7/28/2001,60.46401224
7/29/2001,62.26294153
7/30/2001,58.9649045
7/31/2001,56.26651056
8/1/2001,54.36764076
8/2/2001,52.56871147
8/3/2001,51.56930631
8/4/2001,53.86793818
8/5/2001,56.16657005
8/6/2001,55.46698644
8/7/2001,57.56573727
8/8/2001,58.9649045
8/9/2001,56.06662953
8/10/2001,53.76799766
8/11/2001,52.36883044
8/12/2001,51.46936579
8/13/2001,50.66984166
8/14/2001,51.46936579
8/15/2001,51.66924682
8/16/2001,51.56930631
8/17/2001,51.26948476
8/18/2001,50.96966321
8/19/2001,51.16954424
8/20/2001,47.67162618
8/21/2001,43.27424347
8/22/2001,39.87626592
8/23/2001,38.17727715
8/24/2001,39.77632541
8/25/2001,36.57822889
8/26/2001,33.08031083
8/27/2001,31.88102464
8/28/2001,32.98037031
8/29/2001,33.67995393
8/30/2001,34.17965651
8/31/2001,34.27959702
9/1/2001,36.47828838
9/2/2001,40.17608747
9/3/2001,36.27840734
9/4/2001,32.78048928
9/5/2001,31.58120309
9/6/2001,29.28257122
9/7/2001,27.08387986
9/8/2001,25.28495057
9/9/2001,23.48602128
9/10/2001,22.08685406
9/11/2001,21.18738941
9/12/2001,20.4878058
9/13/2001,19.98810322
9/14/2001,19.8881627
9/15/2001,19.98810322
9/16/2001,20.68768683
9/17/2001,21.78703251
9/18/2001,23.98572386
9/19/2001,26.6841178
9/20/2001,27.2837609
9/21/2001,25.08506954
9/22/2001,23.38608077
9/23/2001,22.28673509
9/24/2001,22.18679457
9/25/2001,22.38667561
9/26/2001,22.78643767
9/27/2001,24.28554541
9/28/2001,24.1856049
9/29/2001,22.58655664
9/30/2001,21.0874489
10/1/2001,20.08804374
10/2/2001,19.48840064
10/3/2001,18.58893599
10/4/2001,17.88935238
10/5/2001,17.08982825
10/6/2001,16.49018516
10/7/2001,15.99048258
10/8/2001,15.49078
10/9/2001,15.09101793
10/10/2001,14.79119638
10/11/2001,14.59131535
10/12/2001,14.39143432
10/13/2001,14.2914938
10/14/2001,13.99167225
10/15/2001,13.19214813
10/16/2001,12.99226709
10/17/2001,13.69185071
10/18/2001,13.29208864
10/19/2001,13.09220761
10/20/2001,12.89232658
10/21/2001,12.59250503
10/22/2001,12.69244554
10/23/2001,12.59250503
10/24/2001,12.49256451
10/25/2001,12.19274296
10/26/2001,12.09280245
10/27/2001,12.89232658
10/28/2001,13.19214813
10/29/2001,11.39321884
10/30/2001,11.59309987
10/31/2001,12.29268348
11/1/2001,12.392624
11/2/2001,11.89292142
11/3/2001,11.59309987
11/4/2001,11.29327832
11/5/2001,10.99345677
11/6/2001,10.49375419
11/7/2001,9.794170578
11/8/2001,9.794170578
11/9/2001,11.1933378
11/10/2001,10.59369471
11/11/2001,9.974063507
11/12/2001,9.864128939
11/13/2001,10.79357574
11/14/2001,11.1933378
11/15/2001,11.1933378
11/16/2001,11.89292142
11/17/2001,11.7929809
11/18/2001,9.794170578
11/19/2001,10.49375419
11/20/2001,10.69363522
11/21/2001,11.29327832
11/22/2001,10.79357574
11/23/2001,10.39381367
11/24/2001,10.19393264
11/25/2001,9.144557223
11/26/2001,8.135158011
11/27/2001,7.725401895
11/28/2001,7.715407843
11/29/2001,7.415586295
11/30/2001,7.415586295
12/1/2001,7.63545543
12/2/2001,8.225104475
12/3/2001,8.734801107
12/4/2001,8.674836797
12/5/2001,8.31505094
12/6/2001,7.815348359
12/7/2001,8.404997404
12/8/2001,9.034622655
12/9/2001,9.424390668
12/10/2001,8.524926023
12/11/2001,8.165140165
12/12/2001,8.045211546
12/13/2001,8.375015249
12/14/2001,8.804759468
12/15/2001,8.714813004
12/16/2001,8.654848694
12/17/2001,8.634860591
12/18/2001,8.175134217
12/19/2001,7.795360256
12/20/2001,7.445568449
12/21/2001,6.865913456
12/22/2001,6.506127598
12/23/2001,6.586080011
12/24/2001,6.785961043
12/25/2001,6.975848024
12/26/2001,7.125758798
12/27/2001,7.245687417
12/28/2001,7.285663624
12/29/2001,7.26567552
12/30/2001,7.205711211
12/31/2001,7.165735004
1/1/2002,7.01582423
1/2/2002,7.095776643
1/3/2002,7.305651727
1/4/2002,7.63545543
1/5/2002,7.795360256
1/6/2002,7.915288875
1/7/2002,8.105175856
1/8/2002,8.185128269
1/9/2002,7.895300772
1/10/2002,7.69541974
1/11/2002,7.535514914
1/12/2002,7.505532759
1/13/2002,7.405592243
1/14/2002,6.82593725
1/15/2002,6.196311998
1/16/2002,6.346222772
1/17/2002,6.775966992
1/18/2002,6.596074063
1/19/2002,6.835931301
1/20/2002,7.035812333
1/21/2002,7.095776643
1/22/2002,6.855919404
1/23/2002,6.76597294
1/24/2002,7.025818282
1/25/2002,7.005830179
1/26/2002,6.356216824
1/27/2002,6.556097856
1/28/2002,7.07578854
1/29/2002,7.485544656
1/30/2002,7.69541974
1/31/2002,7.805354307
2/1/2002,8.065199649
2/2/2002,8.165140165
2/3/2002,8.075193701
2/4/2002,7.995241288
2/5/2002,7.94527103
2/6/2002,7.925282927
2/7/2002,7.845330514
2/8/2002,7.845330514
2/9/2002,7.535514914
2/10/2002,7.495538708
2/11/2002,7.355621985
2/12/2002,7.005830179
2/13/2002,7.025818282
2/14/2002,7.045806385
2/15/2002,7.235693366
2/16/2002,7.185723108
2/17/2002,7.32563983
2/18/2002,7.195717159
2/19/2002,6.945865869
2/20/2002,6.905889663
2/21/2002,6.795955095
2/22/2002,6.82593725
2/23/2002,6.556097856
2/24/2002,6.236288205
2/25/2002,6.116359585
2/26/2002,6.106365534
